Key,分诊主类,子类,类别说明,根因/处置,摘要,功能模块,频次,严重度,状态,报告人,创建,更新,复现步骤全文,最新注释,评论数,全部评论,链接
DNA-2173,A,A,推理·该调工具未调(假成功),打开STR 未调用车控不识别,【基础应用】【车机快速启动】【5.0.5】语音”打开STR“，豆包不识别是车辆快速启动功能，查询一次后才知道,语音控制,必现,B,DRAFT,Li Yudian 李钰点,2026-06-23,2026-07-08,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、唤醒豆包”打开STR“
2、豆包回复不知道是什么功能，之后让豆包查询一下STR
3、再次语音”打开STR“

【期望结果】
1、第一次唤醒豆包就知道STR就是车辆快速启动功能

【实际结果】
1、第一次回复不知道STR是什么功能，让豆包自己查询后，再次输入”打开STR“才可以识别

【发生时间】2026年 6月23 14：24

【再现率】 3/3

【测试环境】台架
版本：IS4PDU5005G06201
MCU：IS4P500401",[~pwhcoy] 泽民辛苦看一下没有调用车控工具,2,"Yang Zhongyu 杨忠谕（2026-07-01）：2026062314245184C161985CEBC4338075 [~bcejgr] 东楠，看下这个没有下发fc呢
---
Zhang Dongnan 张东楠（2026-07-01）：[~pwhcoy] 泽民辛苦看一下没有调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2173
DNA-2164,A,A,推理·该调工具未调(假成功),每日推荐 误播QQ音乐,【语音】【语音控制多媒体】当前喜马拉雅在前台，语音指令：”听一下每日推荐“，播放了QQ音乐的每日推荐,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-23,2026-07-02,"步骤描述：喜马拉雅在前台，语音指令：”听一下每日推荐“
期望结果：播放喜马拉雅的每日推荐
实际结果：播放了QQ音乐的每日推荐
版本：IS4PDU5005G06201
问题发生时间：0623 9：46","20260623094555857E5024AA77DFC6F48C
director 未调用车控工具",1,"Tian Gaolin 田高琳（2026-07-02）：20260623094555857E5024AA77DFC6F48C
director 未调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2164
DNA-2161,A,A,推理·该调工具未调(假成功),每日推荐 未调用车控,【语音】【语音控制多媒体】当前喜马拉雅在前台，语音指令：“播放每日推荐的网络节目”无法播放，TTS：搜索了QQ音乐的每日推荐，实际QQ音乐也未播放,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-06-23,2026-07-02,"步骤描述：打开喜马拉雅，语音指令：“播放每日推荐的网络节目”
期望结果：播放喜马拉雅的每日推荐
实际结果：TTS回复暂不支持此功能，并搜索了QQ音乐的
版本：IS4PDU5005G06201
问题发生时间：0623 9：43","202606230943187E8E925295526DF67881

 

director 未调用车控工具",1,"Tian Gaolin 田高琳（2026-07-02）：202606230943187E8E925295526DF67881

 

director 未调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-2161
DNA-2155,A,A,推理·该调工具未调(假成功),音量二次确认 播报与数据不一致,【语音】【语音控制声音】当前音量18，语音控制调到25，没有第二次确认调节提醒,—,必现,B,DRAFT,Xiao Hui 肖慧,2026-06-22,2026-07-12,"一、前提条件：

车机上电

语音激活状态

二、操作步骤

语音输入：”豆包豆包，多媒体音量调到25“

三、期望结果：

有第二次确认，是否进行调节

四、实际结果：

无第二次确认，直接调到25

时间：2026.06.22 14：02
概率：3/3","语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。
[图]",1,"Yin Zelu 尹泽陆（2026-07-12）：语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2155
DNA-1951,A,A,推理·该调工具未调(假成功),转向手感设置 未调用车控,【0609实车】【PP】【4.0.12】语音”把转向手感设置成运动”，提示不支持转向受手感的设置,语音控制,必现,B,DRAFT,Wei Xianguo 魏献国,2026-06-09,2026-06-26,"步骤：语音”把转向手感设置成运动“
期望：转向手感设置运动成功
实际：语音提示不支持转型手感的设置 
时间：2026.06.09 09：16
ZXD版本：IS4PQU0412G06061_20260606
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606062006_20260606
日志链接：","logid： 20260609091605CC2604D3BB86F5A6CCF9 director未调用车控工具 导致 [~pwhcoy] 辛苦帮忙看一下
[图]",3,"Wei Jiahua 魏嘉华（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606171624
验证问题未修复
---
Liu Jingsi 刘敬思（2026-06-26）：云端返回话术，辛苦云端排查
---
Xie Junjun 谢军军（2026-06-26）：logid： 20260609091605CC2604D3BB86F5A6CCF9 director未调用车控工具 导致 [~pwhcoy] 辛苦帮忙看一下
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-1951
DNA-1926,A,A,推理·该调工具未调(假成功),个性化驾驶模式 未调用车控直接返回,【车控全量】【驾驶模式】语音切换驾驶模式为个性化模式，豆包切换失败，提示需要先手动设置参数,语音控制,必现,B,DRAFT,傅骏-DNA,2026-06-08,2026-06-26,"前提说明：
车辆正常上电
步骤描述：
""切换为个性化模式""
期望结果：
豆包成功切换为个性化模式
实际结果：
豆包提示切换失败，需要先手动设置个性化模式参数
测试时间：2026-06-08 14:20
ZXD版本：IS4PQU4012G06061_20260606
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606060316_20260606

log见[链接]","logid： 20260608141957CBD5D0D3DA607DAC0E65 director 未调用车控工具直接返回了 [~pwhcoy] 辛苦帮忙排查一下
[图]",2,"Liu Jingsi 刘敬思（2026-06-26）：云端返回话术，辛苦云端排查
---
Xie Junjun 谢军军（2026-06-26）：logid： 20260608141957CBD5D0D3DA607DAC0E65 director 未调用车控工具直接返回了 [~pwhcoy] 辛苦帮忙排查一下
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-1926
DNA-1867,A,A,推理·该调工具未调(假成功),后排屏角度下发固定+10·需求每次5°,【车控全量】【吸顶屏】要求豆包后排屏角度调大调小一点，每次都调整10°，需求是每次5°,语音控制,必现,B,DRAFT,傅骏-DNA,2026-06-06,2026-07-09,"前提说明：
车辆正常上电，吸顶屏打开状态
步骤描述：
""后排屏角度调大/小一点""
期望结果：
豆包调大/小角度5°
实际结果：
豆包调大/小角度10°
测试时间：2026-06-06 22:09
ZXD版本：IS4PQU0412G06061
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606060711

日志链接：[链接]","下发的调节度数是固定值
{""functions"":[\{""function_code"":""屏幕角度调节"",""params"":[{""screen"":""后排吸顶屏"",""value"":""+10""}]}],""sound_zone"":""右后"",""is_simple_vehicle_control"":false}, soundZone: 右后, extParams: \{""reply_id"":""f6f2c2f9-0db3-4c1a-b78a-7489697e45d3"",""origin_query"":""后排屏角度调大一点"",""request_id"":""f6f2c2f9-0db3-4c1a-b78a-7489697e45d3"",""is_simple_vehicle_control"":""false""}",1,"Zhao Mingzhu 赵明珠（2026-07-09）：下发的调节度数是固定值
{""functions"":[\{""function_code"":""屏幕角度调节"",""params"":[{""screen"":""后排吸顶屏"",""value"":""+10""}]}],""sound_zone"":""右后"",""is_simple_vehicle_control"":false}, soundZone: 右后, extParams: \{""reply_id"":""f6f2c2f9-0db3-4c1a-b78a-7489697e45d3"",""origin_query"":""后排屏角度调大一点"",""request_id"":""f6f2c2f9-0db3-4c1a-b78a-7489697e45d3"",""is_simple_vehicle_control"":""false""}",http://jira.z-onesoftware.com:8080/browse/DNA-1867
DNA-1865,A,A,推理·该调工具未调(假成功),后排屏角度 tts话术错待云端排查,【车控全量】【吸顶屏】后排屏关闭状态下，要求豆包后排屏角度调大一点，要求两次后，提示已调整至最大无法继续调整，实际角度是92°,语音控制,必现,B,DRAFT,傅骏-DNA,2026-06-06,2026-06-27,"前提说明：
车辆正常上电，吸顶屏关闭状态
步骤描述：
1.""后排屏角度调大一点""
2.""后排屏角度调大一点""
3.""后排屏角度调大一点""
期望结果：
1.豆包提示后排屏关闭状态，需要先打开后排屏，后排屏打开成功，豆包调大角度5°
2.豆包调大角度5°
3.豆包调大角度5°
实际结果：
1.豆包提示后排屏关闭状态，需要先打开后排屏，后排屏打开成功，豆包调大角度1°
2.豆包调大角度1°
3.豆包提示角度已是最大，无法调节
测试时间：2026-06-06 22:03
ZXD版本：IS4PQU0412G06061
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606060711

日志链接：[链接]",辛苦云端排查一下tts回复话术的问题,1,Liu Jingsi 刘敬思（2026-06-26）：辛苦云端排查一下tts回复话术的问题,http://jira.z-onesoftware.com:8080/browse/DNA-1865
DNA-1836,A,A,推理·该调工具未调(假成功),关外灯 未调用车控,【车控全量】【外灯】语音关闭外部灯光失败,语音控制,必现,B,DRAFT,傅骏-DNA,2026-06-06,2026-06-30,"前提说明：
车辆正常上电
步骤描述：
""关闭外部灯光""
期望结果：
豆包正常关闭外灯
实际结果：
豆包关闭外灯失败
测试时间：2026-06-06 03:06
ZXD版本：IS4PQU0412G06032_20260603
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606050930

log地址：[链接]",logid： 20260606030613FAC8F159260FE4F25F83 director 未调用车控工具 [~pwhcoy] 辛苦帮忙看一下 [图],2,"Chen Guoguo 陈果果（2026-06-29）：logid：20260606030613FAC8F159260FE4F25F83
对应时间没有收到fc，辛苦[~lsrakw] 帮忙看一下
---
Yu Zhaozhi 俞昭志（2026-06-30）：logid： 20260606030613FAC8F159260FE4F25F83 director 未调用车控工具 [~pwhcoy] 辛苦帮忙看一下 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-1836
DNA-1835,A,A,推理·该调工具未调(假成功),开外灯偶发 未调用车控,【车控全量】【外灯】偶发语音打开外部灯光失败,语音控制,偶发,B,DRAFT,傅骏-DNA,2026-06-06,2026-06-30,"前提说明：
车辆正常上电
步骤描述：
""打开外部灯光""
期望结果：
豆包正常打开自动大灯
实际结果：
豆包打开自动大灯失败
测试时间：2026-06-06 03:06
ZXD版本：IS4PQU0412G06032_20260603
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606050930

log地址：[链接]",logid： 2026060603065436BE79CA3DA8F8CA776C director 未调用车控工具 [~pwhcoy] 辛苦帮忙看一下 [图],2,"Chen Guoguo 陈果果（2026-06-29）：logid：2026060603065436BE79CA3DA8F8CA776C
没有下发对应的fc，辛苦[~lsrakw] 帮忙看一下
---
Yu Zhaozhi 俞昭志（2026-06-30）：logid： 2026060603065436BE79CA3DA8F8CA776C director 未调用车控工具 [~pwhcoy] 辛苦帮忙看一下 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-1835
DNA-1834,A,A,推理·该调工具未调(假成功),示廓灯 未调用车控,【车控全量】【外灯】语音控制示廓灯失败,语音控制,必现,B,DRAFT,傅骏-DNA,2026-06-06,2026-06-30,"前提说明：
车辆正常上电
步骤描述：
""打开示廓灯""""关闭示廓灯""
期望结果：
豆包正常打开、关闭示廓灯
实际结果：
豆包打开、关闭示廓灯失败
测试时间：2026-06-06 03:00
ZXD版本：IS4PQU0412G06032_20260603
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202606050930","logid： 202606060300041D8C1C182F83B70C713F director未调用车控工具 [~pwhcoy] 辛苦帮忙看一下
[图]",2,"Chen Guoguo 陈果果（2026-06-29）：logid：202606060300041D8C1C182F83B70C713F
没有收到对应的fc，[~lsrakw] 帮忙看一下
---
Yu Zhaozhi 俞昭志（2026-06-30）：logid： 202606060300041D8C1C182F83B70C713F director未调用车控工具 [~pwhcoy] 辛苦帮忙看一下
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-1834
DNA-1671,A,A,推理·该调工具未调(假成功),延时摄影时长 未下发fc,【0604实车】【PP】【4.0.12】摄像头已授权已插U盘的情况下，语音输入“延时摄影时长设置为10分钟”，系统告知正确，但实际未设置正确,语音控制,必现,B,DRAFT,刘吉琳-DNA,2026-06-04,2026-07-09,"日志文件与 DNA-1674票的日志相同，请在1674的票上取

[链接]","[~pwhcoy] 
20260604170511D4433FDD82D8065B470F未下发fc",3,"刘吉琳-DNA（2026-06-04）：日志文件与 DNA-1674票的日志相同，请在1674的票上取
---
傅骏-DNA（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606161244
验证问题未修复
---
Yang Zhongyu 杨忠谕（2026-07-09）：[~pwhcoy] 
20260604170511D4433FDD82D8065B470F未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-1671
DNA-1670,A,A,推理·该调工具未调(假成功),自拍误报没U盘 未下发fc,【0604实车】【PP】【4.0.12】摄像头已授权已插U盘的情况下，语音输入'我要自拍，系统仍提示没有U盘,语音控制,必现,B,DRAFT,刘吉琳-DNA,2026-06-04,2026-07-09,开发分析,202606041702178C0218E05A0E979361B3 [~pwhcoy] 未下发fc,3,"刘吉琳-DNA（2026-06-04）：日志文件与 DNA-1674票的日志相同，请在1674的票上取
---
傅骏-DNA（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606161244
验证问题未修复
---
Yang Zhongyu 杨忠谕（2026-07-09）：202606041702178C0218E05A0E979361B3 [~pwhcoy] 未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-1670
DNA-1668,A,A,推理·该调工具未调(假成功),自拍U盘授权 未下发fc,【0604实车】【PP】【4.0.12】摄像头未授权的情况下，语音输入'我要自拍，系统提示没有U盘，此时已经插入128G的U盘，应提示去授权,语音控制,必现,B,DRAFT,刘吉琳-DNA,2026-06-04,2026-07-09,开发分析,20260604170354B67D29187EBB3B94FA44 [~pwhcoy] 未下发fc,3,"刘吉琳-DNA（2026-06-04）：日志文件与 DNA-1674票的日志相同，请在1674的票上取
---
傅骏-DNA（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606161244
验证问题未修复
---
Yang Zhongyu 杨忠谕（2026-07-09）：20260604170354B67D29187EBB3B94FA44 [~pwhcoy] 未下发fc",http://jira.z-onesoftware.com:8080/browse/DNA-1668
DNA-1616,A,A,推理·该调工具未调(假成功),行人警示音 二次确认播报不一致,【精品车】【语音控车】【4.0.12】语音关闭行人警示音，未弹出二次确认弹框,语音控制,必现,B,ANALYZING,刘吉琳-DNA,2026-06-04,2026-07-13,"步骤：1，行人警示音开启下，语音输入“关闭行人警示音”
期望：弹出二次确认弹框
实际：未弹出二次确认弹框
时间：2026.6.4 11:11
ZXD: IS4PQU4012G06032
M核：4.0.11
豆包：202606020812","[图]

语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。",13,"Wei Jiahua 魏嘉华（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606171624
验证问题未修复
---
Zheng Yongchao 郑永超（2026-06-29）：[图]
---
赵燕-IR（2026-06-30）：根据屏控有没有二次确认弹窗，语音follow，此项目上屏控是有二次确认弹窗的，因此语音也有
 !截屏2026-06-30 09.17.46.png|thumbnail!
---
Yin Zelu 尹泽陆（2026-06-30）：[~yluemi] 辛苦看一下这个问题，之前说没弹窗
---
桂祥-IC（2026-06-30）：麻烦看下是否有二次确认弹窗的需求和能力可以展开。
---
贺海林-IC（2026-06-30）：[~ftrznp][~ehaozc]
视频中操作的其实是两种case：
case1：直接操作界面（或者可见即可说时，其实也是等同于操作界面），关闭行人警示音时，是有弹窗的
case2：通过语音指令直接控制，关闭行人警示音时，其实是语音直接调用行人警示音接口的，没有走声音界面逻辑。所以是没有弹窗的。

因此，视频出现了一次出现弹窗（操作界面），一次没有出现弹窗（语音指令操作，非界面操作）
---
Yin Zelu 尹泽陆（2026-06-30）：[~frleg] 请根据[~lrowia]  描述，确认语音指令操作需否需要弹窗，如果需要弹窗，需要上汽提供该能力。
---
赵燕-IR（2026-07-01）：根据再次沟通对齐，语音根据屏控是否有二次确认弹窗，决议是否有二次交互确认。主要目的是给用户预警，若用户确认，则关闭。若用户未确认，则保持当前设置项不修改
 !截屏2026-06-30 09.17.46.png|thumbnail!
---
贺海林-IC（2026-07-01）：[~frleg] 如会议沟通，尽量做出平台化的功能，语音走多轮交互的形式了
---
赵燕-IR（2026-07-01）：还请 [~ftrznp] 根据语音二次交互的形态对应
---
Yin Zelu 尹泽陆（2026-07-08）：[~acaevr] 需要二次确认话术

当前：{
    ""ttsCode"": ""SetVolume_321"",
    ""ttsContent"": ""你先确认一下屏幕上的内容哈"",
    ""status"": 1,
    ""reason"": ""需你在屏幕中确认后再执行""
  }
---
Zuo Chen 左晨（2026-07-09）：[图] 更新下。
---
Yin Zelu 尹泽陆（2026-07-13）：[图]

语音播报的二次确认信息和我给到的信息不一致，辛苦排查一下。",http://jira.z-onesoftware.com:8080/browse/DNA-1616
DNA-1528,A,A,推理·该调工具未调(假成功),冰箱遗留物监测 识别遗漏未调用车控,【 0602_319实车】【PP】【4.0.11】语音指令“打开冰箱遗留物品监测功能”，豆包提示“没有这个功能”，但实车具备该功能，功能识别遗漏,语音基础,必现,B,DRAFT,Gao Yuan 高源,2026-06-02,2026-06-29,"步骤描述：语音打开冰箱遗留物品检测功能
期望结果：冰箱遗留物品检测功能正常打开
实际结果：豆包提示“没有这个功能”，但实车具备该功能，功能识别遗漏
ZXD版本：IS4PQU4011G06011_20260611
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202605290350_20260529
时间：2026年6月2日 11：13
日志连接：[链接]",director 没有调用车控工具[~pwhcoy],1,Yang Zhongyu 杨忠谕（2026-06-29）：director 没有调用车控工具[~pwhcoy],http://jira.z-onesoftware.com:8080/browse/DNA-1528
DNA-1496,A,A,推理·该调工具未调(假成功),删除应用入口 误报'可删除',【0601台架】【语音控制】语音输入是否可以删除应用入口，TTS播报回复可以,汽车大师,必现,B,DRAFT,liyue 李月,2026-06-01,2026-06-29,"步骤描述：语音输入是否可以删除应用入口
期望结果：TTS播报不能不能删除
实际结果：TTS播报可以删除
ZXD版本：IS4PQU4011G06011_20260611
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.1_20260527_132330
豆包版本：202605290350_20260529
时间：2026年6月1日 17：30",复测不通过,1,Zhang Shaokun 张少坤（2026-06-20）：复测不通过,http://jira.z-onesoftware.com:8080/browse/DNA-1496
DNA-1418,A,A,推理·该调工具未调(假成功),氛围灯亮度 未调用车控,【0528实车】【Ai Light】【PP】氛围灯亮度调节反馈有误，界面提示成功但实际未改动,AI Light,必现,B,ANALYZING,Wei Jiahua 魏嘉华,2026-05-28,2026-07-13,"1、前提说明：车机在主页面状态
2、步骤描述：语音输入：把氛围灯调到最高/最低
3、期望结果：期望结果：屏幕显示状态、语音反馈与氛围灯实际亮度保持一致
4、实际结果：屏幕及语音均提示调节完成，氛围灯实际亮度未发生变化，显示与实际状态不符
5、测试版本： 
ZXD：IS4PQD4011G05271_20260527
M核：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.11.0_20260526_230000
豆包版本：202605261042_20260526
6、发生时间：2026年5月28日 12：42","202606061136216F92981123C759D9A5BA director 未调用车控工具
202606061136380A01CD8198354C3489FB director也没有调用车控工具",6,"Wei Xianguo 魏献国（2026-06-04）：[图]
---
周毅-DNA（2026-06-04）：属于语音控制氛围灯亮度问题，转字节开发陈果果分析
---
Wei Xianguo 魏献国（2026-06-04）：[图] 
 [图] 
 [图]
---
Wei Jiahua 魏嘉华（2026-06-06）：复测结果：
1、前提说明：车机在主页面状态
2、步骤描述：语音输入：把氛围灯调到最高/最低,(调成红色)
3、期望结果：期望结果：屏幕显示状态、语音反馈与氛围灯实际亮度保持一致
4、实际结果：告知车辆无此功能
5、测试版本：
ZXD版本：IS4PQU4012G06061
M核版本：IS4P401101
豆包版本202606050930
6、发生时间：2026年6月6日 11：33
---
Chen Guoguo 陈果果（2026-07-01）：logid:202606061136380A01CD8198354C3489FB
logid:202606061136216F92981123C759D9A5BA
对应logid无fc下发，直接回复的，辛苦云端同事帮忙看一下
---
Yu Zhaozhi 俞昭志（2026-07-01）：202606061136216F92981123C759D9A5BA director 未调用车控工具
202606061136380A01CD8198354C3489FB director也没有调用车控工具",http://jira.z-onesoftware.com:8080/browse/DNA-1418
DNA-1161,A,A,推理·该调工具未调(假成功),熟路模式 误报'没有该模式',【语音控制】【地图】打开地图，语音输入“打开/关闭熟路模式”，回复没有熟路模式,语音控制,必现,B,DRAFT,Lu Naixin 鲁乃鑫,2026-05-20,2026-07-03,"1.车机已联网
二、操作步骤：
1.打开地图，语音输入“打开/关闭熟路模式”
三、预期结果：
1.可以根据指令正确执行
四、实际结果
1.回复没有熟路模式这个功能
五、环境
实车：3704
时间：13:43
概率：必现
mpu：IS4PQD4009G05171
mcu：IS4P400900",[图],2,"Wei Xianguo 魏献国（2026-06-20）：未修复
ZXD版本：IS4PQU5005G06173_20260619
M核版本：IS4PR_ZXD1.2E_S_S32GM_Q_D_v5.0.5.1_20260619_132330
豆包版本：202606161244_20260619
---
Yu Mingming 余明明（2026-07-03）：[图]",http://jira.z-onesoftware.com:8080/browse/DNA-1161
DNA-1122,A,A,推理·该调工具未调(假成功),查热点密码 未调用车控,【0519_台架】【语音控制】【PP】【4.0.9】语音查看热点密码失败，tts回复没法直接查到热点密码,语音控制,必现,B,DRAFT,Gao Yuan 高源,2026-05-19,2026-06-30,"步骤描述：语音：查看当前热点密码。
期望结果：tts回复正确的热点密码。
实际结果：tts回复没法直接查到热点密码。
ZXD：IS4PQD4009G05171_20260517
M核：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.9.3_20260514_145745
豆包版本：202605141224_20260514
测试时间：2026年5月19日 13：49",director 未调用车控工具导致 [~pwhcoy] 辛苦帮忙看一下 [图],2,"Liu Jingsi 刘敬思（2026-06-30）：logld:202605191349512CBE452F914CBFEA5ABE
reuestld: 5fd01452-20c3-4675-97d7-d76f28068c8a 辛苦云端排查，回复语没走车控
---
Yu Zhaozhi 俞昭志（2026-06-30）：director 未调用车控工具导致 [~pwhcoy] 辛苦帮忙看一下 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-1122
DNA-1057,A,A,推理·该调工具未调(假成功),个性化转向手感 未调用工具,【0517_254实车】【车控_驾驶模式】【PP】【4.0.9】个性化模式下，语音无法控制转向手感的设置,语音控制,必现,B,DRAFT,刘吉琳-DNA,2026-05-17,2026-06-26,"步骤：个性化模式下，主驾语音切换转向手感的设置
期望：能切换转向手感设置
实际：语音不能切换转向手感的切换
时间：20250617 12:00
ZXD:IS4PQD4009G05151
M核：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.9.3_20260514_145745
豆包：202605141224","logid： 20260517120127BE350A4FA34973BF368E director 未调用工具导致的 @王泽民 辛苦帮忙排查一下
[图]",2,"Liu Jingsi 刘敬思（2026-06-26）：不支持转向手感话术，辛苦云端排查
---
Xie Junjun 谢军军（2026-06-26）：logid： 20260517120127BE350A4FA34973BF368E director 未调用工具导致的 @王泽民 辛苦帮忙排查一下
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-1057
DNA-1012,A,A,推理·该调工具未调(假成功),切换驾驶模式 未打开设置页·未修复,"【0515_275实车】【车控_驾驶模式】【PP】【4.0.9】车机显示主界面，语音输入“主驾说""切换驾驶模式""或""帮我切换驾驶模式”， 车机未打开""驾驶模式""设置页面",语音控制,必现,B,DRAFT,刘吉琳-DNA,2026-05-15,2026-06-29,"步骤：车机在主界面，语音输入“切换驾驶模式”
期望：识别切换驾驶模式意图，拉起驾驶模式设置页面
实际：不拉起驾驶模式设置页面
时间：20250615 16:30
ZXD:IS4PQD4009G05151
M核：IS4PR_ZXD1.2E_S_S32GM_Q_D_v4.0.9.3_20260514_145745
豆包：202605121243","ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606161244
验证问题未修复",2,"谢拥军-DNA（2026-05-15）：不是我这边的
---
傅骏-DNA（2026-06-21）：ZXD版本：IS4PDU5005G06201
M核版本：IS4P500502
豆包版本：202606161244
验证问题未修复",http://jira.z-onesoftware.com:8080/browse/DNA-1012
DNA-2636,A,A2,推理·端状态读不懂,安全提醒已开却报做好了·端状态未读,【地图】【语音控制地图】安全提醒已打开语音说打开安全提醒，TTS回复做好了,AI Navi,一般,B,DRAFT,Cui Chengyu 崔成煜,2026-06-30,2026-07-08,"1.车辆上电

二、操作步骤：

1.进入地图app

2.在主图

3.语音说打开安全提醒
三.预期结果

TTS按正常逻辑回复安全提醒已经打开
四.实际结果
TTS回复做好了

五，时间

2026 6/ 30 13：54","[~pwhcoy] 豆包播报的话术不对
mSceneId='Navi_11_4_A', mSubSceneId='Navi_435', mTipId='null', mSlotInfo=null}, mMode='MODE_DEFAULT', mTtsContent='前方安全提醒播报已打开啦'}
[图]",2,"Huang Lin 黄林（2026-06-30）：[图]

[图]

导航这边返回状态正常，请确认。
---
Yu Mingming 余明明（2026-07-04）：[~pwhcoy] 豆包播报的话术不对
mSceneId='Navi_11_4_A', mSubSceneId='Navi_435', mTipId='null', mSlotInfo=null}, mMode='MODE_DEFAULT', mTtsContent='前方安全提醒播报已打开啦'}
[图]",http://jira.z-onesoftware.com:8080/browse/DNA-2636
DNA-2600,A,A2,推理·端状态读不懂,端状态查到却回复上一首,【语音】【语音控制多媒体】酷我音乐正在播放，语音指令“这首歌叫什么”，TTS回复错误,语音控制,必现,B,DRAFT,Guo Zhongyan 郭忠艳,2026-06-30,2026-07-01,"步骤描述：酷我音乐正在播放，语音指令“这首歌叫什么”
期望结果：回复正在播放歌曲的信息
实际结果：回复的还是上一首歌曲的信息
版本：IS4PDU6001G06291
问题发生时间：0629 18：57",[~pwhcoy] 端状态查询到了 但是回复错了2026062918570748986DC22CE8A843765B,2,"Tian Gaolin 田高琳（2026-07-01）：[图][图]
---
Tian Gaolin 田高琳（2026-07-01）：[~pwhcoy] 端状态查询到了 但是回复错了2026062918570748986DC22CE8A843765B",http://jira.z-onesoftware.com:8080/browse/DNA-2600
DNA-2535,A,A2,推理·端状态读不懂,无来电却回复接听·缺前置判断,【基础应用】【蓝牙电话】【5.0.5】没有来电，语音”接听“，回复好的帮你接听电话,语音控制,必现,B,DRAFT,Li Yudian 李钰点,2026-06-29,2026-07-08,"【前提条件】
1.电源模式: RUN

【操作步骤】
1、连接蓝牙电话
2、无来电
3、语音：接听

【期望结果】
1、提示无来电可接听

【实际结果】
1、回复好的，帮你接听电话

【发生时间】2026年 6月29 17：13

【再现率】 3/3

【测试环境】
版本：IS4PDU5006G06201
MCU：IS4P500401
环境：台架",这个是因为当前没有来电的电话，[~pwhcoy] 泽民帮忙确认下，现在的接听来电是没有前置判读当前是否有来电的。 [图],3,"Yang Zhongyu 杨忠谕（2026-07-01）：20260629171324254C415FCO6EEC646EE6 [~lsrakw] 昭志，麻烦帮忙确认下这个应该转给谁呢，没有下发fc.
---
Yu Zhaozhi 俞昭志（2026-07-01）：[~sbslqn] 20260629171324254C415FC06EEC646EE6 logid 是这个， 下发了fc但是端侧执行失败了
[
    {
        ""user_query"": """",
        ""sound_zone"": ""主驾"",
        ""is_simple_vehicle_control"": false,
        ""functions"": [
            {
                ""function_code"": ""拨号控制"",
                ""params"": [
                    {
                        ""action"": ""接""
                    }
                ]
   
---
Yang Zhongyu 杨忠谕（2026-07-02）：这个是因为当前没有来电的电话，[~pwhcoy] 泽民帮忙确认下，现在的接听来电是没有前置判读当前是否有来电的。 [图]",http://jira.z-onesoftware.com:8080/browse/DNA-2535
